SalePrice,MSSubClass,LotFrontage,LotArea,LotConfig,Neighborhood,Condition1,Condition2,YearBuilt,YearRemodAdd,RoofStyle,MasVnrType,MasVnrArea,ExterQual,Foundation,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,MoSold,YrSold,SaleCondition
170000,20,115,16905,Inside,Timber,Norm,Norm,1959,1959,Gable,None,0,TA,CBlock,383,1350,1328,0,1328,2,1,TA,5,Attchd,1959,RFn,1,308,7,2007,Normal
144000,85,NA,9180,CulDSac,SawyerW,Norm,Norm,1983,1983,Gable,None,0,TA,CBlock,0,840,884,0,884,2,1,Gd,5,Attchd,1983,RFn,2,504,12,2007,Normal
130250,20,NA,9200,CulDSac,CollgCr,Norm,Norm,1975,1980,Hip,None,0,TA,CBlock,167,938,938,0,938,3,1,TA,5,Detchd,1977,Unf,1,308,7,2008,Normal
141000,20,70,7945,Inside,NAmes,Norm,Norm,1959,1959,Gable,None,0,TA,CBlock,465,1150,1150,0,1150,3,1,TA,6,Attchd,1959,RFn,1,300,5,2006,Normal
319900,120,61,7658,Inside,NridgHt,Norm,Norm,2005,2005,Hip,BrkFace,412,Ex,PConc,1296,1752,1752,0,1752,2,1,Ex,6,Attchd,2005,RFn,2,576,2,2010,Normal
239686,50,48,12822,CulDSac,Mitchel,Norm,Norm,2003,2003,Gable,None,0,Gd,PConc,83,1434,1518,631,2149,1,1,Gd,6,Attchd,2003,RFn,2,670,8,2009,Abnorml
249700,20,84,11096,Inside,Somerst,Norm,Norm,2006,2006,Gable,None,0,Gd,PConc,1632,1656,1656,0,1656,3,1,Gd,7,Attchd,2006,RFn,3,826,7,2007,Normal
113000,190,33,4456,Inside,OldTown,Norm,Norm,1920,2008,Gable,None,0,TA,BrkTil,736,736,736,716,1452,2,3,TA,8,NA,NA,NA,0,0,6,2009,Partial
127000,20,66,7742,Inside,Sawyer,Norm,Norm,1966,1966,Gable,None,0,TA,CBlock,192,955,955,0,955,3,1,TA,6,Attchd,1966,Unf,1,386,1,2007,Normal
177000,60,NA,13869,Corner,Gilbert,Norm,Norm,1997,1997,Gable,None,0,TA,PConc,612,794,794,676,1470,3,1,TA,6,Attchd,1997,Fin,2,388,7,2007,Normal
114500,50,52,6240,Inside,BrkSide,Norm,Norm,1934,1950,Gable,None,0,TA,PConc,816,816,816,0,1176,3,1,TA,6,Detchd,1985,Unf,2,528,9,2006,Normal
110000,90,110,8472,Corner,IDOTRR,RRNn,Norm,1963,1963,Gable,None,0,Fa,CBlock,0,816,816,0,816,2,1,TA,5,CarPort,1963,Unf,2,516,5,2010,Normal
385000,20,68,50271,Inside,Veenker,Norm,Norm,1981,1987,Gable,None,0,Gd,CBlock,32,1842,1842,0,1842,0,1,Gd,5,Attchd,1981,Fin,3,894,11,2006,Normal
130000,80,60,7134,Inside,NAmes,Norm,Norm,1955,1955,Gable,None,0,TA,CBlock,0,384,1360,0,1360,3,1,TA,6,Detchd,1962,Unf,2,572,2,2007,Normal
180500,20,100,10175,Inside,NAmes,Norm,Norm,1964,1964,Gable,BrkFace,272,TA,CBlock,935,1425,1425,0,1425,3,1,TA,7,Attchd,1964,RFn,2,576,7,2008,Normal
172500,160,24,2645,Inside,Somerst,Norm,Norm,1999,2000,Gable,BrkFace,456,Gd,PConc,321,970,983,756,1739,3,1,Gd,7,Attchd,1999,Fin,2,480,8,2009,Abnorml
196500,60,89,11645,Corner,CollgCr,Norm,Norm,2004,2004,Gable,None,0,Gd,PConc,860,860,860,860,1720,3,1,Gd,7,Attchd,2004,RFn,2,565,8,2006,Normal
438780,60,66,13682,CulDSac,StoneBr,Norm,Norm,2006,2006,Hip,BrkFace,1031,Ex,PConc,1410,1410,1426,1519,2945,3,1,Gd,10,BuiltIn,2006,Fin,3,641,10,2006,Partial
124900,20,60,7200,Inside,CollgCr,Norm,Norm,1972,1972,Gable,None,0,TA,CBlock,148,780,780,0,780,2,1,TA,4,Detchd,1973,Unf,1,352,1,2008,Normal
158000,20,63,13072,Inside,SawyerW,RRAe,Norm,2004,2004,Gable,None,0,TA,PConc,217,1158,1158,0,1158,3,1,Gd,5,Detchd,2006,Unf,2,576,5,2006,Partial
101000,75,60,7200,Inside,IDOTRR,Norm,Norm,1920,1996,Gable,None,0,TA,BrkTil,530,530,581,530,1111,3,1,Fa,6,Detchd,1935,Unf,1,288,3,2007,Normal
202500,120,44,6442,Inside,NridgHt,Norm,Norm,2006,2006,Gable,Stone,178,Gd,PConc,1346,1370,1370,0,1370,2,1,Gd,6,Attchd,2006,RFn,2,484,10,2007,Normal
140000,70,50,10300,Inside,OldTown,RRAn,Feedr,1921,1950,Gable,None,0,TA,BrkTil,576,576,902,808,1710,3,1,TA,9,Detchd,1990,Unf,2,480,4,2010,Normal
219500,60,NA,9375,Inside,CollgCr,Norm,Norm,1997,1998,Gable,BrkFace,573,TA,PConc,318,1057,1057,977,2034,3,1,Gd,8,Attchd,1998,RFn,2,645,2,2009,Normal
317000,60,76,9591,Inside,NridgHt,Norm,Norm,2004,2005,Gable,BrkFace,344,Gd,PConc,1143,1143,1143,1330,2473,4,1,Gd,9,BuiltIn,2004,RFn,3,852,10,2007,Normal
180000,20,NA,19900,Inside,NAmes,PosA,Norm,1970,1989,Gable,BrkFace,287,TA,CBlock,1035,1947,2207,0,2207,3,1,TA,7,Attchd,1970,RFn,2,576,7,2010,Normal
226000,20,72,10665,Inside,CollgCr,Norm,Norm,2003,2003,Gable,BrkFace,167,Gd,PConc,440,1453,1479,0,1479,3,1,Gd,7,Attchd,2003,RFn,2,558,6,2007,Normal
80000,30,47,4608,Corner,OldTown,Artery,Norm,1945,1950,Gable,None,0,TA,CBlock,747,747,747,0,747,2,1,TA,4,Attchd,1945,Unf,1,220,6,2010,Normal
225000,50,81,15593,Corner,ClearCr,Norm,Norm,1953,1953,Gable,None,0,Gd,CBlock,701,1304,1304,983,2287,3,1,TA,7,Attchd,1953,Fin,2,667,7,2006,Normal
244000,20,95,13651,Inside,NAmes,Norm,Norm,1973,1973,Gable,BrkFace,1115,TA,CBlock,343,2223,2223,0,2223,3,1,TA,8,Attchd,1973,Fin,2,516,2,2007,Normal
129500,20,69,7599,Corner,Mitchel,Norm,Norm,1982,2006,Gable,None,0,TA,CBlock,280,845,845,0,845,2,1,TA,4,Detchd,1987,Unf,2,360,6,2007,Normal
185000,60,74,10141,Corner,Gilbert,Norm,Norm,1998,1998,Gable,BrkFace,40,TA,PConc,832,832,885,833,1718,3,1,TA,7,Attchd,1998,Fin,2,427,12,2009,Normal
144900,20,85,10200,Inside,NAmes,Norm,Norm,1954,2003,Gable,BrkFace,104,TA,CBlock,404,1086,1086,0,1086,3,1,TA,6,Attchd,1989,Unf,2,490,5,2010,Normal
107400,50,60,5790,Corner,OldTown,Norm,Norm,1915,1950,Gambrel,None,0,Gd,CBlock,840,840,840,765,1605,3,2,TA,8,Detchd,1915,Unf,1,379,5,2010,Normal
91000,180,21,1596,Inside,MeadowV,Norm,Norm,1973,1973,Gable,None,0,TA,CBlock,0,462,526,462,988,2,1,TA,5,BuiltIn,1973,Unf,1,297,11,2009,Normal
135750,20,NA,8475,Inside,NAmes,Norm,Norm,1956,1956,Gable,None,0,TA,CBlock,724,952,952,0,952,2,1,TA,4,Detchd,1956,Unf,1,283,4,2008,Normal
127000,50,50,8635,Inside,BrkSide,Norm,Norm,1948,2001,Gable,None,0,TA,CBlock,295,672,1072,213,1285,2,1,TA,6,Detchd,1948,Unf,1,240,1,2008,Normal
136500,90,72,10778,Inside,Sawyer,Norm,Norm,1968,1968,Hip,None,0,TA,CBlock,1768,1768,1768,0,1768,4,2,TA,8,NA,NA,NA,0,0,4,2010,Normal
110000,50,60,10440,Corner,OldTown,Norm,Norm,1910,1981,Gable,None,0,TA,PConc,440,440,682,548,1230,2,1,TA,5,Detchd,1966,Unf,2,440,5,2009,Normal
193500,60,100,13000,Corner,NAmes,Norm,Norm,1968,1968,Gable,BrkFace,576,TA,CBlock,448,896,1182,960,2142,4,1,Gd,8,Attchd,1968,Fin,1,509,6,2009,Normal
153500,120,32,4500,FR2,Mitchel,Norm,Norm,1998,1998,Hip,BrkFace,443,TA,PConc,36,1237,1337,0,1337,2,1,TA,5,Attchd,1998,Fin,2,405,3,2006,Normal
245000,20,78,10206,Inside,Somerst,Norm,Norm,2007,2007,Gable,Stone,468,TA,PConc,1530,1563,1563,0,1563,3,1,Gd,6,Attchd,2007,RFn,3,758,10,2008,Normal
126500,20,80,8892,Inside,NAmes,Norm,Norm,1960,1960,Gable,BrkCmn,66,TA,CBlock,1065,1065,1065,0,1065,3,1,TA,6,Detchd,1974,Unf,2,461,7,2007,Normal
168500,80,NA,8530,Inside,Gilbert,Norm,Norm,1995,1996,Gable,BrkFace,22,TA,PConc,384,384,804,670,1474,3,1,TA,7,BuiltIn,1995,Fin,2,400,5,2009,Normal
260000,60,121,16059,Corner,NoRidge,Norm,Norm,1991,1992,Hip,BrkFace,284,Gd,CBlock,1288,1288,1301,1116,2417,4,1,Gd,9,Attchd,1991,Unf,2,462,4,2006,Normal
174000,60,122,11911,Inside,Gilbert,Norm,Norm,2005,2005,Gable,None,0,Gd,PConc,684,684,684,876,1560,3,1,Gd,6,BuiltIn,2005,Fin,2,400,3,2009,Normal
164500,160,40,3951,Corner,Somerst,Norm,Norm,2009,2009,Gable,Stone,76,Gd,PConc,612,612,612,612,1224,2,1,Gd,4,Detchd,2009,RFn,2,528,6,2009,Partial
85000,50,105,8470,Corner,IDOTRR,Feedr,Feedr,1915,1982,Hip,None,0,Fa,CBlock,1013,1013,1013,0,1526,2,1,Fa,6,NA,NA,NA,0,0,10,2009,Abnorml
123600,20,60,8070,Inside,CollgCr,Norm,Norm,1994,1995,Gable,None,0,TA,PConc,402,990,990,0,990,3,1,TA,5,NA,NA,NA,0,0,8,2007,Normal
109900,20,60,7200,Inside,NAmes,Norm,Norm,1950,1950,Gable,None,0,TA,Slab,0,0,1040,0,1040,2,1,TA,4,Detchd,1950,Unf,2,420,7,2006,Normal
98600,20,85,8500,Inside,NAmes,Norm,Norm,1961,1961,Hip,BrkCmn,203,TA,CBlock,635,1235,1235,0,1235,2,1,TA,6,Attchd,1961,Unf,2,480,12,2006,Abnorml
163500,30,80,13360,Inside,Crawfor,Norm,Norm,1921,2006,Gable,None,0,TA,BrkTil,163,876,964,0,964,2,1,TA,5,Detchd,1921,Unf,2,432,8,2009,Normal
133900,190,60,7200,Corner,OldTown,Norm,Norm,1910,1998,Hip,None,0,TA,BrkTil,168,1214,1260,1031,2291,4,2,TA,9,Detchd,1900,Unf,2,506,11,2007,Normal
204750,60,69,9337,Inside,CollgCr,Norm,Norm,1997,1997,Gable,None,0,TA,PConc,176,824,905,881,1786,3,1,Gd,7,Attchd,1997,RFn,2,684,5,2007,Normal
185000,60,NA,9765,Corner,Gilbert,Norm,Norm,1993,1993,Gable,BrkFace,68,Ex,PConc,370,680,680,790,1470,3,1,TA,6,BuiltIn,1993,Fin,2,420,4,2009,Normal
214000,20,78,10264,Inside,CollgCr,Norm,Norm,1999,1999,Gable,BrkFace,183,Gd,PConc,426,1588,1588,0,1588,3,1,Gd,6,Attchd,1999,RFn,2,472,8,2006,Normal
94750,20,73,10921,Inside,Edwards,Norm,Norm,1965,1965,Hip,BrkFace,48,TA,CBlock,440,960,960,0,960,3,1,TA,6,Attchd,1965,Fin,1,432,5,2007,Normal
83000,30,85,10625,Corner,Edwards,Norm,Norm,1920,1950,Gable,None,0,TA,BrkTil,350,458,835,0,835,2,1,TA,5,Basment,1920,Unf,1,366,5,2010,Abnorml
128950,20,77,9320,Inside,NAmes,Norm,Norm,1959,1959,Gable,None,0,TA,CBlock,381,950,1225,0,1225,3,1,TA,6,NA,NA,NA,0,0,1,2010,Normal
205000,20,NA,10603,Inside,NWAmes,Norm,Norm,1977,2001,Gable,BrkFace,28,TA,PConc,410,1610,1610,0,1610,3,1,Gd,6,Attchd,1977,RFn,2,480,2,2010,Normal
178000,60,77,9206,Inside,SawyerW,Norm,Norm,1985,1985,Gable,BrkFace,336,Gd,CBlock,741,741,977,755,1732,3,1,Gd,7,Attchd,1985,Fin,2,476,6,2010,Normal
118964,90,64,7018,Inside,SawyerW,Norm,Norm,1979,1979,Gable,None,0,TA,Slab,0,0,1535,0,1535,4,2,TA,8,Attchd,1979,Unf,2,410,6,2009,Alloca
198900,20,94,10402,Corner,CollgCr,Norm,Norm,2009,2009,Gable,None,0,TA,PConc,1226,1226,1226,0,1226,3,1,Gd,6,Attchd,2009,RFn,3,740,5,2010,Normal
169500,50,NA,7758,Corner,IDOTRR,Norm,Norm,1931,1950,Gable,BrkFace,600,TA,PConc,816,1040,1226,592,1818,4,1,TA,7,Detchd,1951,Unf,1,240,6,2007,Normal
250000,60,75,9375,Inside,Somerst,Norm,Norm,2003,2004,Hip,BrkFace,768,Gd,PConc,1053,1053,1053,939,1992,3,1,Gd,9,Attchd,2003,RFn,2,648,8,2008,Normal
100000,30,60,10800,Inside,OldTown,Norm,Norm,1885,1995,Mansard,None,0,TA,BrkTil,641,641,1047,0,1047,2,1,TA,6,Detchd,1954,Unf,1,273,8,2007,Normal
115000,20,50,6000,Inside,OldTown,Norm,Norm,1948,1950,Gable,None,0,TA,CBlock,516,789,789,0,789,2,1,TA,5,Detchd,1948,Unf,1,250,4,2008,Partial
115000,50,85,8500,Corner,IDOTRR,Artery,Norm,1919,2005,Gable,None,0,TA,CBlock,793,793,997,520,1517,3,1,Fa,7,NA,NA,NA,0,0,8,2007,Normal
190000,20,105,11751,Inside,NWAmes,Norm,Norm,1977,1977,Hip,BrkFace,480,TA,CBlock,1139,1844,1844,0,1844,3,1,TA,7,Attchd,1977,RFn,2,546,1,2010,Normal
136900,50,75,9525,Inside,Edwards,Norm,Norm,1954,1972,Gable,None,0,TA,CBlock,550,994,1216,639,1855,4,1,TA,7,Attchd,1954,Unf,1,325,10,2006,Normal
180000,80,NA,7750,Inside,Gilbert,Norm,Norm,2000,2000,Gable,None,0,TA,PConc,134,384,774,656,1430,3,1,TA,7,BuiltIn,2000,Fin,2,400,4,2010,Normal
383970,60,77,9965,Inside,CollgCr,Norm,Norm,2007,2007,Gable,Stone,220,Gd,PConc,280,1264,1282,1414,2696,4,1,Ex,10,BuiltIn,2007,Fin,3,792,10,2007,Partial
217000,20,NA,21000,Corner,Crawfor,Norm,Norm,1953,1953,Hip,BrkFace,184,TA,CBlock,905,1809,2259,0,2259,3,1,Gd,7,Basment,1953,Unf,2,450,10,2007,Abnorml
259500,70,61,7259,Inside,Crawfor,Norm,Norm,1945,2002,Gambrel,None,0,TA,CBlock,104,1028,1436,884,2320,3,1,Gd,9,Detchd,1945,Unf,1,180,7,2007,Normal
176000,160,34,3230,Corner,Somerst,Norm,Norm,1999,1999,Gable,BrkFace,1129,TA,PConc,310,729,729,729,1458,2,1,TA,5,Detchd,1999,Unf,2,440,6,2007,Normal
139000,20,NA,11616,Inside,Sawyer,Norm,Norm,1962,1962,Gable,BrkFace,116,TA,CBlock,252,1092,1092,0,1092,3,1,TA,6,Attchd,1962,Unf,1,288,9,2009,Normal
155000,20,74,8536,Corner,Edwards,Norm,Norm,2006,2007,Gable,None,0,TA,PConc,1125,1125,1125,0,1125,2,1,TA,5,Attchd,2007,Unf,2,430,4,2007,Partial
320000,60,90,12376,Corner,SawyerW,Norm,Norm,1990,1990,Hip,None,0,TA,PConc,203,1673,1699,1523,3222,5,1,Gd,11,Attchd,1990,Unf,3,594,5,2010,Normal
163990,60,65,8461,Inside,CollgCr,Norm,Norm,2005,2006,Gable,None,0,Gd,PConc,728,728,728,728,1456,3,1,Gd,8,Attchd,2005,Fin,2,390,7,2006,Partial
180000,80,NA,21453,CulDSac,ClearCr,Norm,Norm,1969,1969,Flat,None,0,TA,CBlock,0,938,988,0,988,1,1,TA,4,Attchd,1969,Unf,2,540,10,2006,Normal
100000,50,50,6060,Inside,IDOTRR,Norm,Norm,1939,1950,Gable,None,0,TA,PConc,732,732,772,351,1123,3,1,TA,4,Detchd,1979,Unf,1,264,6,2007,Normal
136000,20,75,9464,Corner,NAmes,Norm,Norm,1958,1958,Hip,BrkFace,135,TA,CBlock,510,1080,1080,0,1080,3,1,TA,5,Attchd,1958,Unf,1,288,6,2008,Normal
153900,120,55,7892,Inside,SawyerW,Norm,Norm,1993,1993,Gable,None,0,Gd,PConc,899,1199,1199,0,1199,2,1,Gd,5,Attchd,1993,RFn,2,530,3,2008,Normal
181000,20,48,17043,CulDSac,NWAmes,Norm,Norm,1979,1998,Gable,None,0,TA,CBlock,1362,1362,1586,0,1586,3,1,TA,7,Attchd,1979,Unf,2,435,1,2009,Normal
84500,190,60,6780,Inside,IDOTRR,Norm,Norm,1935,1982,Gable,None,0,TA,CBlock,30,520,520,0,754,2,1,TA,5,NA,NA,NA,0,0,6,2006,Normal
128000,120,NA,4928,Inside,NPkVill,Norm,Norm,1976,1976,Gable,None,0,TA,CBlock,958,1078,958,0,958,2,1,TA,5,Attchd,1977,RFn,2,440,2,2007,Normal
87000,45,55,4388,Inside,OldTown,Feedr,Norm,1930,1950,Gable,None,0,TA,BrkTil,556,672,840,0,840,3,1,TA,5,NA,NA,NA,0,0,6,2007,Normal
155000,60,69,7590,Inside,NAmes,PosN,Norm,1966,1966,Gable,BrkFace,266,TA,CBlock,148,660,660,688,1348,3,1,TA,6,Attchd,1966,RFn,2,453,7,2006,Normal
150000,20,69,8973,Inside,NAmes,Norm,Norm,1958,1991,Gable,BrkFace,85,TA,CBlock,413,1008,1053,0,1053,3,1,Ex,6,2Types,1998,RFn,2,750,7,2006,Abnorml
226000,60,88,14200,Corner,NAmes,Norm,Norm,1966,1966,Gable,BrkFace,309,TA,CBlock,479,924,1216,941,2157,4,1,Gd,8,Attchd,1966,Fin,2,487,5,2006,Normal
244000,60,NA,12224,Corner,Gilbert,Norm,Norm,2000,2000,Gable,BrkFace,40,Gd,PConc,297,992,1022,1032,2054,3,1,Gd,7,BuiltIn,2000,RFn,2,390,7,2009,Normal
150750,20,75,7388,Corner,NAmes,Norm,Norm,1959,2002,Gable,None,0,TA,CBlock,658,1063,1327,0,1327,3,1,Gd,7,Detchd,1974,Unf,2,624,7,2007,Normal
220000,20,NA,6853,Inside,Timber,Norm,Norm,2001,2002,Gable,BrkFace,136,Gd,PConc,262,1267,1296,0,1296,2,1,Gd,6,Attchd,2001,Fin,2,471,6,2009,Normal
180000,20,78,10335,Inside,Sawyer,Norm,Norm,1968,1993,Gable,None,0,TA,CBlock,891,1461,1721,0,1721,3,1,TA,7,Attchd,1968,RFn,2,440,7,2006,Normal
174000,20,80,10400,Inside,NWAmes,Norm,Norm,1970,1970,Hip,BrkFace,288,TA,PConc,1304,1304,1682,0,1682,3,1,TA,7,Attchd,1970,Unf,2,530,5,2008,Normal
143000,20,NA,10355,Corner,NAmes,Norm,Norm,1967,1967,Gable,BrkFace,196,TA,CBlock,519,1214,1214,0,1214,3,1,TA,5,Attchd,1967,RFn,1,318,7,2007,Normal
